PMID,Journal,Year,Animal,Disease,Type,Acupoints,Mechanism,Site
41189656,Front Neurol,2025,Mouse,Methamphetamine (METH)-induced depressive-like behaviors and cognitive impairment,EA,ST36,Microglial neuroinflammation inhibition,ST36
41169936,J Tradit Complement Med,2025,Rat,Acute ankle arthritis,MA,ST36,Piezo1/CD39-mediated adenosine production,ST36
41167532,Brain Res Bull,2025,Rat,Depression (Chronic restraint stress (CRS)-induced),EA,"ST36, GV29 GV20, SP6",PINK1/Parkin-mediated mitochondrial autophagy,ST36
41163407,Brain Behav,2025,Mouse,Major Depressive Disorder (MDD) induced by chronic unpredictable mild stress (CUMS),MA,"GV20, ST36",Gut microbiota-S1P axis modulation,ST36
41136355,Transl Psychiatry,2025,Mouse,Autism Spectrum Disorder (ASD),EA,ST36,Vagus nerve-mediated gut microbiota regulation,ST36
41100515,PLoS One,2025,Rat,Neuropathic pain (NP) induced by chronic constriction injury (CCI),EA,"ST36, GB34",DNMT3a/MOR signaling pathway modulation,ST36
41044791,Diabetol Metab Syndr,2025,Rat,type 2 diabetes mellitus (T2DM),EA,"EX-B3, BL20, ST36, SP9, GV20",Wnt/β-catenin/astrocyte polarization modulation,ST36
41085217,Physiol Rep,2025,Rat,opioid-induced constipation (OIC),EA,ST36,Autonomic nervous system modulation,ST36
41083053,Brain Res Bull,2025,Rat,Remifentanil-induced hyperalgesia (RIH),EA,"ST36, SP6",Thalamo-cortico-limbic circuit inhibition,ST36
41082483,J Vis Exp,2025,Mouse,Alzheimer's disease (AD),MA,"GV20, GV29, ST36",Gut-brain axis neuroinflammation suppression,ST36
41076216,Brain Res Bull,2025,Mouse,Post-traumatic stress disorder (PTSD),EA,ST36,LH-BNST orexin circuit activation,ST36
41069927,J Diabetes Res,2025,Rat,Diabetic Kidney Disease (DKD),MA,"CV12, LR3, SP9, SP10, SP8, SP6, SP40, LI11, LI4, ST36",Suppression of EMT via DPP4/SDF-1 axis,ST36
41047414,Chin Med,2025,Mouse,Inflammatory bowel disease (IBD),EA,"ST36, ST25",Piezo1-mediated mitochondrial homeostasis regulation,ST36
41192653,Neuroscience,2025,Rat,Long-segment sciatic nerve defects,EA,"GB30, ST36, EX-B2(L2-L5)",Peripheral nerve regeneration promotion,ST36
41211649,J Am Heart Assoc,2025,Rat,ischemic stroke,EA,ST36,Vagus-Fut2-fucosylation axis activation,ST36
41233833,Chin Med,2025,Mouse,Alzheimer's disease (AD) / cognitive impairments,EA,"ST36, ST37",GVAF-NTS-LC noradrenergic circuit activation,ST36
41236071,Brain Res Bull,2025,Rat,ischemic stroke,EA,"LI11, ST36",Mitochondrial dynamics regulation,ST36
41272418,J Cereb Blood Flow Metab,2025,Rat,Cerebral ischemia-reperfusion (CIR),EA,"GV20, ST36",Lysosomal TFEB activation,ST36
41276799,Chin Med,2025,Mouse,cisplatin-induced peripheral neuropathy (CIPN),EA,"ST36, BL60",Spinal IGF1/IGF1R signaling activation,ST36
41453429,Neuroscience,2025,Mouse,Inflammatory pain,EA,ST36,Recruitment of spinal dorsal horn GABAergic neurons,ST36
41277766,CNS Neurosci Ther,2025,Mouse,Experimental Autoimmune Encephalomyelitis (EAE) (model for Multiple Sclerosis),EA,ST36,β-endorphin-mediated NSC/OPC modulation,ST36
41330160,J Surg Res,2025,Mouse,Hip fracture-induced acute lung injury (ALI),EA,"ST36, SP6",TLR4/NF-κB signaling inhibition,ST36
41344227,J Psychiatr Res,2025,Rat,Chronic neuropathic pain and long-term cognitive impairment,EA,"ST36, SP6",rACC-vlPAG neural circuit activation,ST36
41345003,J Integr Med,2025,Rat,Diarrhea-predominant irritable bowel syndrome (IBS-D),EA,"ST36, ST25, LR3",Mast cell/miR-494-3p/adherens junction modulation,ST36
41413920,Neurogastroenterol Motil,2025,Rat,Irritable bowel syndrome (IBS-D),EA,ST36,TRPV1 and NF-κB suppression,ST36
41403645,Front Microbiol,2025,Rat,Postoperative Cognitive Dysfunction (POCD) induced by anesthesia and tibial fracture surgery,EA,"GV20, HT7, ST36",Gut microbiota modulation,ST36
41362754,Int J Gen Med,2025,Rat,Cerebral infarction,MA,"LI4, LR3, ST36, ST40",Gut SCFA/IL-17 axis regulation,ST36
41367129,CNS Neurosci Ther,2025,Mouse,Alzheimer's disease (AD) / AD-like phenotypes,EA,"GV20, CV4, ST36",Cerebral microangiopathy prevention,ST36
41376216,J Tradit Chin Med,2025,Mouse,type 2 diabetes mellitus (T2DM),EA,"ST36, BL20",Exosomal CircEZH1 upregulation,ST36
41394897,J Inflamm Res,2025,Mouse,Postoperative ileus (POI),EA,ST36,Vagus-m3AChR signaling modulation,ST36
41046250,Chin Med,2025,Rat,CFA-Induced Inflammatory Pain,EA,"ST36, BL60",P2X7 receptor inhibition in satellite glial cells,ST36
41239500,Diabetol Metab Syndr,2025,Rat,"Obesity, insulin resistance (HFD-induced)",EA,"CV12, CV4, ST36, ST40",SIRT1-mediated anti-inflammatory pathway promotion,ST36
41041343,Front Immunol,2025,Rat,Diarrhea-predominant irritable bowel syndrome (IBS-D),EA,"ST36, ST25, LR3",Mast cell-derived exosomal miR-149-5p modulation,ST36
40893930,Neuropsychiatr Dis Treat,2025,Rat,"Irritable Bowel Syndrome (IBS), visceral hypersensitivity, anxiety-like behaviors",EA,ST36,ACC-AIC circuit modulation,ST36
40713955,Neuron,2025,Mouse,Gastric contractility,EA,ST36,Somatosensory-vagal-gastric reflex via TRPV1,ST36
40727711,Integr Med Res,2025,Rat,Adjuvant-induced arthritis (AA),MA,ST36,Mast cell degranulation,ST36
40728104,Immun Inflamm Dis,2025,Mouse,Surgical stress-induced impairment of dendritic cell maturation,EA,"ST36, SP6",GR/GILZ signaling pathway modulation,ST36
40756569,Open Life Sci,2025,Rat,Sciatic nerve crush injury (sciatica),EA,"ST36, GB30",BDNF/NGF regulation and autophagy induction,ST36
40784914,Sci Rep,2025,Rat,Sleep deprivation-exacerbated post-cardiac arrest brain injury (PCABI),EA,"ST36, PC6",EAAT2/calcium signaling axis modulation,ST36
41015800,J Tradit Chin Med,2025,Mouse,Inflammatory pain,MA,ST36,Tryptophan metabolism modulation,ST36
40823702,CNS Neurosci Ther,2025,Mouse,Inflammatory bowel disease (IBD) with comorbid depression,EA,"ST36, ST25, LR3",IL-4-JAK1-STAT6 pathway activation and microglial polarization,ST36
40835938,Chin Med,2025,Rat,Idiopathic pulmonary fibrosis (IPF),EA,"BL13, BL23, ST36",PI3K-AKT and FoxO signaling inhibition and ferroptosis modulation,ST36
40837348,World J Diabetes,2025,Rat,Diabetic Gastroparesis (DGP),EA,ST36,Autonomic nerve (vagal or sympathetic) modulation via current intensity,ST36
40843449,Front Bioeng Biotechnol,2025,Rat,Inflammatory pain,MA,ST36,Unknown,ST36
40846518,J Integr Med,2025,Mouse,Diabetes-induced gastrointestinal (GI) motility disorders,EA,ST36,GDNF/Ret signaling pathway activation,ST36
40854377,Brain Res Bull,2025,Mouse,"chronic pain comorbid with anxiety and depression, chronic constriction injury of the infraorbital nerve (CION)",EA,"GV20, ST36",MERTK-mediated microglial phagocytosis inhibition,ST36
40867154,Brain Sci,2025,Mouse,"Inflammatory pain (AA-induced writhing, CFA-induced)",EA,ST36,"Acupuncture activates adenosine A1 receptors and partially opioid receptors, suppressing spinal p38 MAPK phosphorylation and astrocyte activation (GFAP) to reduce neuroinflammation and pain",ST36
40890793,Chin Med,2025,Mouse,Pain-anxiety comorbidity (CFA-induced chronic inflammatory pain),EA,ST36,Astrocyte inhibition and PV interneuron activation,ST36
40810704,Adv Sci (Weinh),2025,Mouse,Ligature-induced periodontitis (LIP) with sleep deprivation (SD),EA,ST36,AChE-ACh-α7nAChR axis modulation,ST36
40952961,J Vis Exp,2025,Rat,Knee osteoarthritis (KOA),EA,"GB34, ST36",Pro-inflammatory mediator inhibition,ST36
40923850,Neurol Res,2025,Rat,cerebral ischemia,EA,"GV20, ST36",Microglial M1-to-M2 polarization shift,ST36
40948815,Front Neurosci,2025,Rat,Cognitive impairment in hypertension,EA,"LR3, ST36",White matter structural repair,ST36
40943453,Int J Mol Sci,2025,Mouse,Inflammatory pain,MA,"ST36, PC6, LI4",TRPV1 signaling inhibition,ST36
40939710,Brain Res,2025,Rat,cerebral Ischemia-Reperfusion-Induced intestinal barrier injury and neuroinflammation (CIRI),EA,"GV20, ST36",TLR4/NLRP3 inflammasome pathway inhibition,ST36
40932543,Neurochem Res,2025,Rat,central poststroke pain (CPSP),EA,"GV20, ST36",lncRNA MEG3/Wnt/β-Catenin signaling inhibition,ST36
40908949,J Inflamm Res,2025,Mouse,inflammatory bowel disease (IBD) accompanied by depressive symptoms,EA,"ST36, ST25, LR3",Oxidative stress-mediated NLRP3/ASC/Caspase-1 pathway inhibition,ST36
41008336,Brain Sci,2025,Mouse,Fibromyalgia (FM) pain,EA,ST36,Increased PD-1 expression,ST36
41007675,Biomedicines,2025,Mouse,Fibromyalgia (FM) pain,EA,ST36,"Electroacupuncture alleviates fibromyalgia pain by upregulating cannabinoid receptor 1 (CB1) expression in nociceptive pathways, suppressing glial activation, and inhibiting TLR4-MyD88-TRAF6 signaling",ST36
40923144,Brain Behav,2025,Mouse,"chronic stress-induced pain hypersensitivity, hyperalgesia",EA,"ST36, SP6",Suppression of thalamic VAL CaMKIIα-positive neurons,ST36
41009612,Int J Mol Sci,2025,Rat,Neuropathic pain (L5 spinal nerve ligation),EA,"ST36, GB34",CCL2/CCR2 signaling inhibition,ST36
40918226,Pain Rep,2025,Mouse,Neuropathic pain (SNI model),EA,"ST36, SP6",DBI and GABAA1 expression upregulation,ST36
41010400,Life (Basel),2025,Mouse,Fibromyalgia (FM),EA,ST36,Cerebellar CB1 signaling activation,ST36
40913858,Int Immunopharmacol,2025,Rat,intestinal ischemia-reperfusion (II/R)-induced acute lung injury (ALI),EA,"ST36, BL13",Vagus-sympathetic nerve pathway activation,ST36
37820679,Altern Ther Health Med,2024,Mouse,chronic kidney disease (CKD) muscle atrophy,EA,"ST36, GB34",Upregulation of the IGF1/mTOR signaling pathway via Let-7c-5p reduction,ST36
38601933,Front Microbiol,2024,Rat,Depressive-like behavior (chronic unpredictable mild stress),EA,"ST36, ST25",Gut microbiota and neurotransmitter regulation,ST36
38629369,Curr Neurovasc Res,2024,Rat,Traumatic brain injury (TBI),EA,"GV20, GV26, ST36, PC6",xCT/System Xc- signaling activation,ST36
38633538,Front Neurol,2024,Rat,Acid-induced pain (thermal hyperalgesia),EA,ST36,Somatosensory cortex astrocyte activation,ST36
38638995,Heliyon,2024,Rat,Post-stroke gastrointestinal dysfunction (ischemic stroke),EA,ST36,DMV cholinergic signaling and α7nAChR activation,ST36
38670551,Mol Pain,2024,Mouse,Pain (antinociceptive effects),EA,ST36,ARC POMC neural circuit activation,ST36
38597270,Neuroreport,2024,Rat,Intracerebral hemorrhage (ICH),EA,"LI11, ST36",PPARγ/Nrf2/γ-GCS signaling activation,ST36
38672029,Brain Sci,2024,Rat,CFA-induced inflammatory pain (Arthritic Rats),MA,ST36,p38 MAPK-mediated F-actin signaling,ST36
37944960,Altern Ther Health Med,2024,Rat,"Exercise-induced muscle damage (EIMD), skeletal muscle inflammatory response",MA,"ST36, CV4",Inhibiting the cGAS-STING-NF-κB signaling pathway,ST36
38678668,Int Immunopharmacol,2024,Rat,CFA-induced arthritis,MA,ST36,Adenosine A3 receptor upregulation and NF-κB inhibition,ST36
38698583,Brain Behav,2024,Rat,Ischemic stroke (MCAO/R),EA,"LI11, ST36",Brain network topological property modulation,ST36
38538872,Appl Biochem Biotechnol,2024,Rat,Rheumatoid Arthritis (Collagen-Induced Arthritis),EA,"GB39, ST36",ROS inhibition and protease activity reduction,ST36
38715602,Front Immunol,2024,Mouse,Sepsis-related intestinal injury (CLP model),EA,"PC6, ST36, CV12, LR3",Polyamine-related M2-macrophage polarization,ST36
38741612,J Inflamm Res,2024,Rat,Chronic obstructive pulmonary disease (COPD),EA,"BL13, ST36",Transcriptomic modulation of inflammation,ST36
38744625,Neurotherapeutics,2024,Rat,Parkinson's disease (PD) constipation,EA,ST36,α7nAChR-mediated GDNF signaling,ST36
38746630,J Alzheimers Dis Rep,2024,Mouse,Alzheimer's disease (AD),MA,"ST36, CV12",Acupoint microcirculation enhancement,ST36
38763503,Brain Res,2024,Rat,Subarachnoid hemorrhage (SAH),EA,"GV20, GV14, ST36",HIF-1α signaling pathway inhibition,ST36
38774094,Heliyon,2024,Mouse,MPTP-induced Parkinson's disease (PD),EA,"GV16, LR3, ST36",NLRP3 inflammasome and gut barrier modulation,ST36
38701956,Biochim Biophys Acta Mol Basis Dis,2024,Mouse,LPS-induced cardiomyopathy,EA,ST36,Exosomal miR-381 delivery,ST36
38402994,Brain Res Bull,2024,Rat,Acute ankle arthritis,MA,ST36,NTPDase1-ATP-P2Y2R axis activation,ST36
38523680,J Inflamm Res,2024,Mouse,Arthritis / Inflammatory pain,MA,ST36,TRPA1 signaling activation,ST36
38509741,J Cell Mol Med,2024,Rat,Chronic Neuropathic Pain (NP) induced by chronic constriction injury (CCI),EA,"ST36, GV20",Nrf2 signaling activation and ferroptosis inhibition,ST36
38807876,Heliyon,2024,Rat,Functional Dyspepsia (FD),EA,"ST36, LR3",Inhibition of NF-κB p65/NLRP3 pyroptosis pathway,ST36
37976026,Mol Neurobiol,2024,Rat,Chronic ischemic white matter injury,MA,"ST9, LI11, ST36, LR3, PC6",Regulation of the JNK-NMDAR circuit,ST36
37983919,Neurogastroenterol Motil,2024,Rat,Functional Dyspepsia (FD),EA,ST36,Suppression of sympathetic activity and proinflammatory cytokines,ST36
37989106,Neuroendocrinology,2024,Rat,Obesity and Insulin Resistance (IR),EA,"ST36, ST40, CV4, CV2",Activation of the GLP-1-VTADA reward circuit,ST36
38018559,CNS Neurosci Ther,2024,Rat,chronic inflammatory pain-induced anxiety-like behaviors,EA,"ST36, SP6",Activation of the rACC-DRN neural circuit,ST36
38038835,Chin J Integr Med,2024,Rat,Colitis (DSS-induced),EA,"ST36,  BL25, BL15",5-HT signaling pathway interference and SSC inhibition,ST36
38123001,J Chem Neuroanat,2024,Rat,Ischemic stroke (permanent middle cerebral artery occlusion - PMCAO),EA,"ST36, GV20",HMGB1/RAGE/p-JNK signaling inhibition,ST36
38142925,Neurosci Lett,2024,Rat,Chronic pain (hyperalgesic priming model),EA,"ST36, BL60",IL-33/ST2 signaling inhibition,ST36
38145884,Eur J Neurosci,2024,Mouse,Sciatic nerve dissociation,EA,ST36,p38 MAPK signaling inhibition,ST36
38160492,J Surg Res,2024,Mouse,Ventilator-Induced Lung Injury (VILI),EA,"BL13, ST36",Nrf2/HO-1 pathway activation,ST36
38178681,Comb Chem High Throughput Screen,2024,Rat,Diminished Ovarian Reserve (DOR),MA,"ST36, BL23",PI3K/AKT signaling pathway regulation,ST36
38263038,BMC Anesthesiol,2024,Mouse,Ventilator-Induced Lung Injury (VILI),EA,ST36,TLR4/NF-κB signaling inhibition,ST36
38266778,Behav Brain Res,2024,Rat,Parkinson's disease (PD),MA,"LR3, LI4, GV20, GB20, GV16, ST36",IRE1/XBP1 ER stress pathway activation,ST36
38305135,Neuroreport,2024,Rat,Diabetic neuropathic pain,EA,"BL60, ST36",p-CaMKIIα inhibition,ST36
38329679,Mol Neurobiol,2024,Rat,Pain memory model,EA,ST36,GABAergic signaling activation in the rACC,ST36
38339048,Int J Mol Sci,2024,Mouse,Spared nerve injury (SNI)-induced neuropathic pain,EA,ST36,TRPV1 signaling pathway inhibition,ST36
38381095,Microb Biotechnol,2024,Rat,Severe acute pancreatitis (SAP),EA,ST36,Intestinal microbiota and SCFA regulation,ST36
38384563,Heliyon,2024,Rabbit,Knee osteoarthritis (KOA),MA,"EX-LE2, ST36, EX-LE4, ST35",Macrophage polarization regulation,ST36
38397989,Biomedicines,2024,Mouse,Fibromyalgia (FM) pain (ICS-induced FM model),EA,ST36,TLR4 signaling pathway downregulation,ST36
38471276,Biomed Pharmacother,2024,Mouse,Postoperative ileus (POI),EA,ST36,Vagus nerve-α7nAChR signaling activation,ST36
38472553,Neurochem Res,2024,Rat,LPS-induced cognitive dysfunction,EA,ST36,α7nAChR/Nrf2/HO-1 pathway activation,ST36
38806118,Brain Res Bull,2024,Rat,C6-Luc glioma,MA,"GV20, GV14, GV6, GB30, ST36",Hedgehog pathway regulation,ST36
39034393,J Nanobiotechnology,2024,Mouse,Rheumatoid arthritis (RA),EA,ST36,Restoration of Th17/Treg-mediated immunity balance,ST36
38812057,Biol Res,2024,Rat,Neuropathic pain (NP),EA,"ST36, BL60",Suppression of BIP-IRE-1α-mediated endoplasmic reticulum stress,ST36
39369463,Int Immunopharmacol,2024,Mouse,Chronic hepatitis B (CHB),EA,"ST36, BL18",Regulation of PPAR-JAK/STAT pathway,ST36
39396501,Microb Physiol,2024,Mouse,"Post-infectious irritable bowel syndrome (PI-IBS), visceral hypersensitivity",EA,"ST36, ST25",Regulation of gut microbiota via GDNF signaling,ST36
39405932,Int Immunopharmacol,2024,Mouse,"Collagen-induced arthritis (CIA), rheumatoid arthritis (RA)",MA,"BL23, ST36",Butyric acid-mediated inhibition of ferroptosis,ST36
39408573,Int J Mol Sci,2024,Mouse,Neuropathic pain (NPP) induced by spared nerve injury (SNI),EA,ST36,Activation of Adora-3 signaling pathway,ST36
39414746,J Mol Neurosci,2024,Mouse,Sciatic Nerve Cuffing-induced Neuropathic Pain,EA,ST36,Modulation of serotonergic pathway,ST36
39426227,Int Immunopharmacol,2024,Mouse,asthma inflammation,EA,"GV14, BL23, ST36",Inhibition of NLRP3/JAK2/STAT3 pathway,ST36
39429851,J Inflamm Res,2024,Mouse,Ulcerative colitis (DSS-induced),EA,ST36,Modulation of microbial phenylalanine metabolism,ST36
39456207,Biomolecules,2024,Mouse,Postoperative cognitive dysfunction (POCD),EA,"GV20, ST36",Suppression of neuroinflammation and tau phosphorylation,ST36
39523376,Bioelectron Med,2024,Rat,Irritable bowel syndrome (IBS) / Visceral pain,EA,ST36,Unknown,ST36
39529111,Chin Med,2024,Rat,Neuropathic pain (Sciatica & low back pain),EA,"ST36, BL60",Inhibition of P2X3 receptor expression in dorsal root ganglia,ST36
39559484,IBRO Neurosci Rep,2024,Rat,Paradoxical sleep deprivation-induced postoperative hyperalgesia,EA,"GV20, ST36",Activation of α7nAChR and modulation of the BDNF/TrkB-KCC2 pathway,ST36
39560708,Metab Brain Dis,2024,Rat,Diabetic cognitive impairment,EA,"EX-B3, ST36, GV20, GV14",Induction of mitophagy and suppression of NLRP3 inflammasome activation,ST36
39598297,Life (Basel),2024,Mouse,Fibromyalgia (FM),EA,ST36,Upregulation of cannabinoid receptor 1 (CB1) expression,ST36
38813905,Neuroreport,2024,Rat,Cerebral ischemia (stroke),EA,"ST36, GV20",Rebalance of BDNF and IL-6,ST36
39618028,Neurogastroenterol Motil,2024,Mouse,Intestinal Ischemia-Reperfusion Injury (IIRI),EA,ST36,Activation of the cholinergic-miRNA 124 pathway,ST36
39677117,Cureus,2024,Rat,Knee osteoarthritis (KOA),EA,"EX-LE2, ST36, LR8",Inhibition of ADAMTS5 expression,ST36
39719630,Chin Med,2024,Mouse,Inflammatory pain,EA,"ST36, ST37",Activation of the CB2R-AMPK-β-endorphin pathway,ST36
39723129,Front Bioeng Biotechnol,2024,Rat,Acute adjuvant arthritis (AA),MA,ST36,Induction of mast cell degranulation,ST36
39768313,Life (Basel),2024,Mouse,Fibromyalgia (FM),EA,ST36,Inhibition of TRPV1 overexpression,ST36
39834366,Front Microbiol,2024,Rat,type 2 diabetes mellitus (T2DM),EA,"ST36, SP6, EX-B3","Regulation of gut microbiota, short-chain fatty acids (SCFAs), and GLP-1",ST36
39850138,Front Microbiol,2024,Rat,pulmonary dysplasia in offspring with perinatal nicotine exposure (PNE),EA,ST36,Modulation of maternal gut microbiota and short-chain fatty acid (SCFA) levels,ST36
40757592,Muscles,2024,Rat,Disuse-induced skeletal muscle atrophy (casting-induced muscle atrophy),"EA, MA","ST36, GB34",MAFbx and MuRF1 inhibition,ST36
39369764,Brain Res Bull,2024,Mouse,"Chronic neuropathic pain, depression-like behaviors",EA,"ST36, SP6",Inhibition of IL-BLA neural circuit,ST36
37245142,Neuromodulation,2024,Mouse,Gastrointestinal motility disorder (diabetic mice model),EA,ST36,Upregulation of the BMP2/BMPR-Smad signaling pathway,ST36
39335365,Brain Sci,2024,Mouse,Fibromyalgia (FM) / Intermittent Cold Stress (ICS)-induced FM-like model,EA,ST36,Inactivation of TRPV1 and IL-17A,ST36
39119947,Immun Inflamm Dis,2024,Mouse,Inflammatory bowel disease (IBD),EA,ST36,Modulation of NLRP3 inflammasome pathway,ST36
38906326,J Adv Res,2024,Mouse,Obesity,EA,"ST25, ST36",Suppression of Osteoprotegerin (OPG) levels,ST36
39334299,Mol Brain,2024,Mouse,Carrageenan-induced pain aversion (inflammatory pain model),EA,"ST36, SP6",Activation of ACC GABAergic neurons,ST36
40666705,J Transl Gastroenterol,2024,Rat,Thermal Injury-induced Gastric Dysmotility,EA,ST36,Autonomic-COX-2 pathway downregulation,ST36
39054547,Diabetol Metab Syndr,2024,Mouse,Glycolipid metabolism disorders in NAFLD/Type 2 diabetes mellitus (T2DM),EA,"BL13, BL20, BL23, ST36, SP6, LI4, LR3",Mediation of AMPK/ACC signaling pathway,ST36
39062789,Int J Mol Sci,2024,Mouse,ischemic stroke,EA,"SP6, ST36",Unknown,ST36
39071725,Heliyon,2024,Rat,Diabetic Kidney Disease (DKD),MA,"LI1, LI4, SP10, ST36, ST40, SP9, SP8, SP6, LR3, CV12",Inhibition of ferroptosis and epithelial-mesenchymal transition,ST36
39073516,Chin J Integr Med,2024,Mouse,Inflammation-induced pain,EA,ST36,Modulation of MD2 expression,ST36
39084570,Brain Res Bull,2024,Mouse,Amyotrophic lateral sclerosis (ALS),EA,"GV20, ST36",Unknown,ST36
39084906,eNeuro,2024,Mouse,Comorbid chronic neuropathic pain and anxiety-like behaviors,EA,"ST36, SP6",Unknown,ST36
39094355,Int Immunopharmacol,2024,Mouse,Psoriasiform skin inflammation (psoriasis),EA,"ST36, LI11",Regulation of Th17/Treg immune balance,ST36
39100139,J Pain Res,2024,Rat,Knee osteoarthritis (KOA),EA,"ST32, ST36",Altered brain functional and effective connectivity,ST36
38923873,Adv Sci (Weinh),2024,Mouse,liver regeneration after 70% partial hepatectomy (PH),EA,ST36,Activation of DMV acetylcholinergic neurons-vagus-macrophage axis,ST36
39318991,J Inflamm Res,2024,Mouse,Chronic hepatitis B (CHB) / HBV infection,EA,"ST36, BL18",Regulation of IFN-γ/JAK/STAT axis,ST36
39162890,J Mol Neurosci,2024,Rat,Diabetic Neuropathic Pain (DNP),EA,"ST36, BL60",Activation of TRPV1-mediated CaMKII/CREB pathway,ST36
39279046,CNS Neurosci Ther,2024,Mouse,"Chronic pain, mechanical allodynia, anxiety-like behaviors",EA,"ST36, SP6",Modulation of BLA-ACC neural circuit,ST36
39261952,Diabetol Metab Syndr,2024,Rat,"MAFLD, T2DM, hepatic steatosis and fibrosis",EA,"BL19, EX-B3, ST36, SP6",Enhancement of AMPK-mediated glycolipid metabolism and autophagy,ST36
39166411,Neuroreport,2024,Rat,Permanent middle cerebral artery occlusion (pMCAO),EA,"GV20, ST36",Inhibition of HMGB1 and RAGE activation,ST36
39223647,Mol Brain,2024,Mouse,Cerebral ischemia/reperfusion (I/R) injury / Ischemic stroke (IS),EA,ST36,Enhancement of ABCA1-mediated efferocytosis,ST36
39220342,Sex Med,2024,Rat,Premature ejaculation,EA,ST36,Modulation of regional brain activity,ST36
39306868,J Chromatogr B Analyt Technol Biomed Life Sci,2024,Mouse,Adjuvant-Induced Arthritis (AIA),MA,ST36,Regulation of arachidonic acid and pentose phosphate pathways,ST36
39209235,Biochim Biophys Acta Mol Basis Dis,2024,Mouse,endotoxin-induced acute lung injury,EA,"ST36, BL13",Regulation of HO-1/MIC60 signaling pathway,ST36
37240805,Life (Basel),2023,Mouse,Fibromyalgia (FM) pain (cold-stress-induced),EA,ST36,Inhibition of the TLR4 signaling pathway,ST36
36994520,J Tradit Chin Med,2023,Rat,Jumping-induced muscle injury,EA,ST36,Upregulation of Hspb7 and Myoz2 proteins,ST36
36967957,Heliyon,2023,Rat,Subarachnoid hemorrhage (SAH),EA,"GV20, GV14, ST36",Modulating microglia polarization and suppressing neuroinflammation (pSTAT3-NOX2),ST36
36968479,Front Neurosci,2023,Rat,"Hypertension, cognitive dysfunction","EA,MA","LR3, ST36",Enhancing functional activities in specific brain regions,ST36
36947651,Altern Ther Health Med,2023,Rat,Myocardial ischemia,EA,"PC6, ST36, CV4",P2X7 receptor and mitochondrial function regulation,ST36
36910013,Neural Plast,2023,Rat,colitis,EA,ST36,Inhibiting dorsal root ganglion sympathetic-sensory coupling and neurogenic inflammation,ST36
36875547,Neurobiol Pain,2023,Rat,Pain,EA,"ST36, BL60",Regulating KCC2 expression by BDNF-TrkB pathway,ST36
36819507,Ann Transl Med,2023,Rat,Surgery-induced spatial memory deficits / Perioperative neurocognitive disorders (PNDs),EA,"SP6, ST36",Promoting mitophagy and inhibiting oxidative stress/inflammation,ST36
36816326,Heliyon,2023,Rat,CVD,MA,"CV17, CV12, CV6, ST36, SP10",Th17/Treg balance regulation,ST36
37008940,Front Endocrinol (Lausanne),2023,Rat,Controlled ovarian hyperstimulation (COH),MA,"SP6, LR3, ST36","Restoring estrogen and progesterone balance, regulating implantation window",ST36
37092126,J Inflamm Res,2023,Mouse,Hepatic Ischemia/Reperfusion Injury (IRI),EA,ST36,Vagus nerve-dependent Nrf2 pathway activation to reduce oxidative stress,ST36
37034166,Front Neurosci,2023,Mouse,Insulin resistance (IR),EA,ST36,Improved response of POMC neurons to adiponectin,ST36
37051108,Iran J Basic Med Sci,2023,Rat,Neurological disorder,EA,"ST36, GV20",Gut-brain axis modulation and JNK signaling pathway regulation,ST36
36777630,Evid Based Complement Alternat Med,2023,Rat,Diabetic neuropathic pain (DNP) (STZ-induced),EA,"ST36, BL60",Downregulating p-PKC and TRPV1 expression,ST36
37142764,Sci Rep,2023,Mouse,"Irritable bowel syndrome (IBS), Ulcerative colitis (UC)",EA,ST36,Improving intestinal barrier functions and homeostasis regulation,ST36
37143500,Front Vet Sci,2023,Rat,Paclitaxel-induced allodynia (neuropathic pain),EA,"CV12, ST36",Upregulation of nerve regeneration related proteins and metabolome changes,ST36
37147750,J Tradit Chin Med,2023,Mouse,Irritable bowel syndrome (IBS),EA,"ST25, ST36",Promoting intestinal barrier functions and suppressing inflammatory cytokines,ST36
37152933,Front Endocrinol (Lausanne),2023,Mouse,Diabetic cognitive impairment (DCI),EA,"GV20, GV24, BL13, BL20, BL23, LI4, ST36, SP6, LR3","Reducing endoplasmic reticulum stress, inhibiting JNK, and restoring insulin signaling",ST36
37193149,Am J Transl Res,2023,Rat,Rheumatoid arthritis (RA),EA,ST36,Inhibition of synovial cell autophagy,ST36
37211600,Biol Res,2023,Rat,Neuropathic pain (Spinal Nerve Ligation model),EA,"BL60, ST36",Regulation of the srGAP3-Rac1 signaling pathway,ST36
37214317,Integr Med Res,2023,Rat,Cast-induced skeletal muscle atrophy,"MA, EA","ST36, GB34 (Acupuncture/EA); Lateral and medial gastrocnemius muscles (ES)",Attenuation of skeletal muscle atrophy,ST36
37220632,J Pain Res,2023,Rat,Knee Osteoarthritis (ACLT rat model),EA,"ST36, ST32",Modulation of brain network topological properties,ST36
36785752,Evid Based Complement Alternat Med,2023,Rat,Collagen-induced arthritis (rheumatoid arthritis),EA,"ST36, SP6",Suppressing the TLR2/4-MyD88-NF-κB signaling pathway,ST36
36689154,J Cardiovasc Transl Res,2023,Mouse,CVD,MA,"PC6, BL15, ST36",Altered differentially expressed genes and pathways,ST36
