mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Th1/Th2 balance modulation and reduction of LTB4/NO,Th1/Th2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of intracellular calcium and phosphorylation of spinal NMDAR subunits,MDA,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Connexin 43 involvement in blastocyst implantation,BLA,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Mu and delta-opioid receptor activation via enkephalin release/synthesis in NAc,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Normalization of VTA dopamine neuron activity,dopamine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Antagonism of nociceptin/orphanin FQ (OFQ) system,orphanin,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Reduction of inflammatory process and collagen deposition,inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Promotion of collateral sprouting and modulation of gene expression (e.g., CNTF, FGF-1, IGF-1R)",CNTF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Modulation of c-Fos expression in PMC, vlPAG, MPA",PAG,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Regulation of adipose tissue gene expression (leptin, IL-6, uncoupling protein 2)",IL-6,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of DREAM and preprodynorphin (PPD) gene expression,dynorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Endogenous opioid peptides (dynorphin) release,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Serotonergic system modulation,serotonergic,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Inhibition of COX-2 expression,COX-2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of endogenous opiate system,endogenous opiate,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Reversal of neuronal morphological changes in VTA,VTA,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Modulation of CCK(B) receptor,CCK(B),Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of spinal synaptic plasticity (LTD/LTP) and NMDA/opioid receptors,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of prolactin-releasing peptide (PrRP) and estrogen (E2) levels,estrogen,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
TRPC6/PKC signaling inhibition,TRPC6,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Activation of astrocytic MC4R to inhibit MAPK/NF-κB signaling,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Deactivation of AGRP-expressing neurons,AGRP,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Inhibition of PTK2B and promotion of AKT1 phosphorylation,AKT,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Regulation of the intestinal fungal community,intestinal fungal,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Dopamine-mediated inhibition of the NLRP3 signaling pathway,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of circulating exosomal microRNA expression,exosom,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Activation of the PTEN/PI3K/Akt/mTOR signaling pathway,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Regulation of the hypothalamic-pituitary-adrenal (HPA) axis,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Inhibition of glial cell activation and promotion of anti-inflammatory phenotypes,anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of the NF-κB pathway and NLRP3 inflammasome,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of NLRP3 inflammasome activation in microglia,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Electroacupuncture activates α7nAChR to upregulate HO-1, thereby suppressing p38 MAPK/NF-κB phosphorylation, restoring tight junction proteins, and preserving intestinal barrier integrity in MAFLD",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of nitric oxide synthase (NOS) and nitric oxide release,nitric oxide,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Enhancement of CD5 expression,CD5 expression,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of ARHGAP17 and VEGFB expression,VEGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
α7nAChR activation and microglial pyroptosis suppression,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
TFEB/TFE3-mediated autophagic clearance,TFEB,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Ferroptosis pathway modulation via FTH1/SLC40A1/NRAS/CD82/PTPN18,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Nucleus tractus solitarius (NTS)-vagal axis activation,vagal,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
PPAR signaling pathway modulation via Hmgcs1/Fabp3 and gut microbiota,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Inhibition of GFAP and Cx43 overexpression,GFAP,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Upregulation of BDNF and CaMKIIβ signaling,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Mast cell-mediated histamine release,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Neat1/NLRC4 pathway downregulation,NLRC4,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
CB1 upregulation and TRPV1 pathway suppression,CB1,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
cGAS-STING pathway inhibition,STING,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Enhanced norepinephrine release via LC noradrenergic-spinal projections,adrenergic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Modulation of amygdala functional connectivity and neural activity,functional connectivity,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
CB1 receptor-mediated inhibition of GABAergic neurons,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Regulation of Adora3 and CD73 expression,CD73,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of α7nAChR and increased lipoxin A4 (LXA4) production,lipoxin,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of Golgi stress via CREB3/ARF4 downregulation,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Downregulation of P2Y receptor expression,P2Y receptor,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Regulation of Nrf2/HO-1 pathway,Nrf2,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Activation of IL-12p70/PI3K/AKT/BCL2 axis,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of NLRP3 and NF-κB via serum exosomes,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Intestinal microbiota and metabolite modulation,intestinal microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
P2X7R/NLRP3 signaling downregulation,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
HMGB1 and p-JNK inhibition,JNK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of microglial P2X4R and neuroinflammation,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of the PI3K/AKT/mTOR signaling pathway and inhibition of autophagy/pyroptosis,autophagy,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Activation of the irisin-mediated VEGF/Akt/eNOS signaling pathway,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Reduction of CCL2/CCR2-mediated macrophage infiltration,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of brain activity in the VTA and LDTgv regions,VTA,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Modulation of gut microbiota composition,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Activation of the PPARγ-EAAT2 pathway,PPAR,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Reduction of mitochondrial fission proteins (FIS1 and Drp1) and mitochondrial damage,mitochondrial fission,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Inhibition of enteric glial cell activity and S100β release via the noradrenergic pathway,adrenergic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Modulation of TRPV1, NGF, SP, and PKCγ expression","SP,",Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of oocyte DNA methylation and Wnt/GnRH/calcium signaling,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Regulation of the SCFAs/FFAR3/NF-κB signaling pathway,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Electroacupuncture upregulates PD-L1 expression, activating PD-1 receptors to suppress nociceptive neuron activity and reduce pain-related kinase signaling across dorsal root ganglion, spinal cord, thalamus, and somatosensory cortex",somato,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Regulation of the CKLF1/HIF-1α/VEGF/Notch1 signaling pathway,VEGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Inhibition of the SYT-3/GLUA2 signaling pathway,SYT-3,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Mitochondrial function improvement and AMPKα modulation,AMPK,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Modulation of the ATP-adenosine pathway and P2Y2R activation,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
GSK-3/astrocyte activation inhibition,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulating the miR-21-5p/TGF-β/Smads pathway,TGF-β,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Microglial neuroinflammation inhibition,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Piezo1/CD39-mediated adenosine production,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Gut microbiota-S1P axis modulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Vagus nerve-mediated gut microbiota regulation,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
DNMT3a/MOR signaling pathway modulation,DNMT3a,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Wnt/β-catenin/astrocyte polarization modulation,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Autonomic nervous system modulation,autonomic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Gut-brain axis neuroinflammation suppression,neuroinflammation,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
LH-BNST orexin circuit activation,orexin,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Peripheral nerve regeneration promotion,nerve regeneration,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Vagus-Fut2-fucosylation axis activation,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
GVAF-NTS-LC noradrenergic circuit activation,adrenergic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Mitochondrial dynamics regulation,mitochondrial dynamics,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Lysosomal TFEB activation,TFEB,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Spinal IGF1/IGF1R signaling activation,IGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Recruitment of spinal dorsal horn GABAergic neurons,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
β-endorphin-mediated NSC/OPC modulation,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
TRPV1 and NF-κB suppression,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Gut microbiota modulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Cerebral microangiopathy prevention,cerebral microangiopathy,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Exosomal CircEZH1 upregulation,exosom,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Vagus-m3AChR signaling modulation,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
P2X7 receptor inhibition in satellite glial cells,satellite glial,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
ACC-AIC circuit modulation,ACC-,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Somatosensory-vagal-gastric reflex via TRPV1,vagal,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Mast cell degranulation,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
BDNF/NGF regulation and autophagy induction,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Tryptophan metabolism modulation,tryptophan,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
PI3K-AKT and FoxO signaling inhibition and ferroptosis modulation,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Autonomic nerve (vagal or sympathetic) modulation via current intensity,vagal,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
GDNF/Ret signaling pathway activation,GDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
MERTK-mediated microglial phagocytosis inhibition,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Acupuncture activates adenosine A1 receptors and partially opioid receptors, suppressing spinal p38 MAPK phosphorylation and astrocyte activation (GFAP) to reduce neuroinflammation and pain",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Astrocyte inhibition and PV interneuron activation,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
AChE-ACh-α7nAChR axis modulation,AChE,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Pro-inflammatory mediator inhibition,pro-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Microglial M1-to-M2 polarization shift,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
White matter structural repair,white matter,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
TLR4/NLRP3 inflammasome pathway inhibition,TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
lncRNA MEG3/Wnt/β-Catenin signaling inhibition,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Increased PD-1 expression,PD-1,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Electroacupuncture alleviates fibromyalgia pain by upregulating cannabinoid receptor 1 (CB1) expression in nociceptive pathways, suppressing glial activation, and inhibiting TLR4-MyD88-TRAF6 signaling",TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
CCL2/CCR2 signaling inhibition,CCL2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Cerebellar CB1 signaling activation,CB1,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Vagus-sympathetic nerve pathway activation,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Upregulation of the IGF1/mTOR signaling pathway via Let-7c-5p reduction,mTOR,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Somatosensory cortex astrocyte activation,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
DMV cholinergic signaling and α7nAChR activation,cholinergic signaling,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
ARC POMC neural circuit activation,neural circuit,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
PPARγ/Nrf2/γ-GCS signaling activation,Nrf2,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
