disease_string,matched_keyword,level_1,level_2,level_3,level_4,level_5,level_6,level_7
opioid-induced constipation (OIC),constipation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Post-traumatic stress disorder (PTSD),PTSD,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Long-segment sciatic nerve defects,SCI,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Alzheimer's disease (AD) / cognitive impairments,alzheimer,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral ischemia-reperfusion (CIR),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
cisplatin-induced peripheral neuropathy (CIPN),neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Experimental Autoimmune Encephalomyelitis (EAE) (model for Multiple Sclerosis),multiple sclerosis,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Irritable bowel syndrome (IBS-D),IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Postoperative Cognitive Dysfunction (POCD) induced by anesthesia and tibial fracture surgery,cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Alzheimer's disease (AD) / AD-like phenotypes,alzheimer,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
"Irritable Bowel Syndrome (IBS), visceral hypersensitivity, anxiety-like behaviors",visceral hypersensitivity,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Gastric contractility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Adjuvant-induced arthritis (AA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Sciatic nerve crush injury (sciatica),sciatica,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Idiopathic pulmonary fibrosis (IPF),pulmonary fibrosis,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Diabetes-induced gastrointestinal (GI) motility disorders,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
"chronic pain comorbid with anxiety and depression, chronic constriction injury of the infraorbital nerve (CION)",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Inflammatory pain (AA-induced writhing, CFA-induced)",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Pain-anxiety comorbidity (CFA-induced chronic inflammatory pain),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Ligature-induced periodontitis (LIP) with sleep deprivation (SD),periodontitis,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Cognitive impairment in hypertension,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
cerebral Ischemia-Reperfusion-Induced intestinal barrier injury and neuroinflammation (CIRI),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
central poststroke pain (CPSP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Fibromyalgia (FM) pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neuropathic pain (L5 spinal nerve ligation),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Fibromyalgia (FM),fibromyalgia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
intestinal ischemia-reperfusion (II/R)-induced acute lung injury (ALI),ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
chronic kidney disease (CKD) muscle atrophy,muscle atrophy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Acid-induced pain (thermal hyperalgesia),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Post-stroke gastrointestinal dysfunction (ischemic stroke),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Pain (antinociceptive effects),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
CFA-induced inflammatory pain (Arthritic Rats),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Exercise-induced muscle damage (EIMD), skeletal muscle inflammatory response",skeletal muscle,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
CFA-induced arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Rheumatoid Arthritis (Collagen-Induced Arthritis),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Parkinson's disease (PD) constipation,parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Subarachnoid hemorrhage (SAH),subarachnoid,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
MPTP-induced Parkinson's disease (PD),parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
LPS-induced cardiomyopathy,cardiomyopathy,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Arthritis / Inflammatory pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chronic Neuropathic Pain (NP) induced by chronic constriction injury (CCI),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Obesity and Insulin Resistance (IR),obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Ischemic stroke (permanent middle cerebral artery occlusion - PMCAO),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic pain (hyperalgesic priming model),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Sciatic nerve dissociation,SCI,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Ventilator-Induced Lung Injury (VILI),lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Pain memory model,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Spared nerve injury (SNI)-induced neuropathic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Severe acute pancreatitis (SAP),pancreatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Fibromyalgia (FM) pain (ICS-induced FM model),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
LPS-induced cognitive dysfunction,cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
C6-Luc glioma,glioma,Other,Other,Other,Other,Other,Other,Cancer/Oncology
Neuropathic pain (NP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chronic hepatitis B (CHB),hepatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
"Collagen-induced arthritis (CIA), rheumatoid arthritis (RA)",arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Neuropathic pain (NPP) induced by spared nerve injury (SNI),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Sciatic Nerve Cuffing-induced Neuropathic Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
asthma inflammation,asthma,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Ulcerative colitis (DSS-induced),colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Irritable bowel syndrome (IBS) / Visceral pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neuropathic pain (Sciatica & low back pain),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Paradoxical sleep deprivation-induced postoperative hyperalgesia,hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Diabetic cognitive impairment,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral ischemia (stroke),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Intestinal Ischemia-Reperfusion Injury (IIRI),ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Acute adjuvant arthritis (AA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
pulmonary dysplasia in offspring with perinatal nicotine exposure (PNE),pulmonary dysplasia,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Disuse-induced skeletal muscle atrophy (casting-induced muscle atrophy),muscle atrophy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Gastrointestinal motility disorder (diabetic mice model),intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Fibromyalgia (FM) / Intermittent Cold Stress (ICS)-induced FM-like model,fibromyalgia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Thermal Injury-induced Gastric Dysmotility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammation-induced pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Amyotrophic lateral sclerosis (ALS),ALS,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Psoriasiform skin inflammation (psoriasis),inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
liver regeneration after 70% partial hepatectomy (PH),liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Chronic hepatitis B (CHB) / HBV infection,hepatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diabetic Neuropathic Pain (DNP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Permanent middle cerebral artery occlusion (pMCAO),MCAO,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral ischemia/reperfusion (I/R) injury / Ischemic stroke (IS),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Premature ejaculation,premature ejaculation,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Adjuvant-Induced Arthritis (AIA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
endotoxin-induced acute lung injury,lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Fibromyalgia (FM) pain (cold-stress-induced),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Jumping-induced muscle injury,muscle injury,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
"Hypertension, cognitive dysfunction",cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Hepatic Ischemia/Reperfusion Injury (IRI),hepatic,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Insulin resistance (IR),insulin,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Diabetic neuropathic pain (DNP) (STZ-induced),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Irritable bowel syndrome (IBS), Ulcerative colitis (UC)",colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Neuropathic pain (Spinal Nerve Ligation model),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Cast-induced skeletal muscle atrophy,muscle atrophy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Knee Osteoarthritis (ACLT rat model),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Diabetes-induced hyperalgesia / Diabetic neuropathic pain (DNP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
acute lung injury,lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
sepsis-associated cognitive dysfunction,cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
alcoholic liver injury,liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Subarachnoid hemorrhage,subarachnoid,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Inflammatory Bowel Disease (IBD) induced Visceral Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Depression (chronic unpredictable mild stress (CUMS)-induced),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Adjuvant arthritis (AA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
post-ischemic depression (PID),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Rheumatoid arthritis (RA) (antigen-induced arthritis (AIA) model),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
"Cerebral ischemia, ischemic stroke",stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Perinatal nicotine exposure-induced offspring lung dysplasia,nicotine,Other,Other,Other,Other,Other,Addiction,Addiction
colorectal cancer,rectal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Immunosenescence (D-galactose-induced aging),immunosenescence,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
"Chronic pain, Negative emotions, Hyperalgesia",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
chronic inflammatory pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
cervical spondylosis radiculopathy,cervical spondyl,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Chronic Hypoxia-Induced Cognitive Dysfunction,cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Experimental autoimmune encephalomyelitis (EAE),EAE,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
"Surgical Trauma, Hypothalamic-Pituitary-Adrenal Axis Dysfunction",adrenal,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
collagen-induced rheumatoid arthritis (CIA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Gout arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
nociception and inflammation,nocicepti,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Depression-like behavior (tail suspension test induced),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Pain memory and related anxiety-like behaviors,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Focal Cerebral Ischemia (FCI),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Portal hypertension (PHT) induced by bile duct ligation (BDL),hypertension,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Cytokine storm secondary lung injury,lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
pulmonary inflammatory disease,pulmonary inflammatory,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
atrophic gastritis (CAG),gastritis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Complex regional pain syndrome type-I (CRPS-I),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
impaired endometrial receptivity,endometri,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
cholestasis,cholestasis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Gastric mucosal lesions,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
autism,autism,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
alcohol use disorder (AUD),alcohol,Other,Other,Other,Other,Other,Addiction,Addiction
peripheral neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
hippocampal injury,hippocampal injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Sepsis-Associated Encephalopathy (SAE),encephalopathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic cecitis / local enteritis,cecitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
postoperative complication,postoperative complication,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Lyme disease,lyme disease,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
ulcer,ulcer,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
poststroke motor dysfunction,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
delirium,delirium,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
COPD,COPD,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
morphine tolerance,morphine tolerance,Other,Other,Other,Other,Other,Addiction,Addiction
Muscular atrophy,muscular,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Gastric dysmotility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
subacute/chronic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
cognitive deficits,cognitive deficit,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
pulmonary dysplasia(offspring),pulmonary dysplasia,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
cancer,cancer,Other,Other,Other,Other,Other,Other,Cancer/Oncology
diarrhea,diarrhea,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Chronic cerebral hypoperfusion (CCH),cerebral hypoperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
spared nerve injury (SNI),nerve injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
GI motility dysfunction,GI motility,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
"inflammatory pain, neuropathic pain",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
ischemic white matter damage,white matter damage,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
hepatic encephalopathy,encephalopathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
insulin-dependent diabetes (IDDM),diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
cutaneous injury,cutaneous,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Skeletal muscle injury,skeletal muscle,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
muscle injury,muscle injury,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
skeletal muscle fibrosis,skeletal muscle,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
drug abuse,drug abuse,Other,Other,Other,Other,Other,Addiction,Addiction
migraine,migraine,Pain,Pain,Pain,Pain,Pain,Pain,Pain
ptsd,PTSD,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
cancer-induced bone pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
emphysema,emphysema,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
stress,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
tumor,tumor,Other,Other,Other,Other,Other,Other,Cancer/Oncology
memory deficit,memory deficit,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
intestinal ischaemia,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammatory bowel disease,inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Middle Cerebral Artery Occlusion/Reperfusion,,Other,Other,Other,Other,Other,Other,Other
nicotine exposure,nicotine,Other,Other,Other,Other,Other,Addiction,Addiction
chronic and excruciating pain,,Other,Other,Other,Other,Other,Other,Other
Cancer pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
nicotine-induced pulmonary changes,nicotine,Other,Other,Other,Other,Other,Addiction,Addiction
hepatitis,hepatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Chronic Inflammatory Pain and Depression,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Jejunum movement disorder,jejun,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
peripheral nerve injury (PNI),peripheral nerve,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
hyperalgesic priming,hyperalgesic priming,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Complex regional pain syndrome type-I,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
bowel dysfunction,bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
cerebral I/R injury model,I/R injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
cerebral  injury,,Other,Other,Other,Other,Other,Other,Other
Chronic stress,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
chronic fibromyalgia pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
focal cerebral ischemia and reperfusion,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
intestinal injury,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Dyspepsia,dyspepsia,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
drug induced pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
excisional skin injuries,skin,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
nerve ligation,nerve ligation,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
multiple infarct dementia,dementia,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Oligozoospermia of insufficiency of Shen (Kidney) essence syndrome (OIKES),sperm,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
acute colitis,colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
pain memory-induced aversive behaviors,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Gastric Hypomotility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Nonalcoholic fatty liver disease,liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Shock,shock,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Crohn's Disease,crohn,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Psoriasis,psoriasis,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
cerebral injury,cerebral injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Allergic Contact Dermatitis,allerg,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Hyperlipidemia,hyperlipidemia,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
faecal incontinence,incontinence,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
obstructive pulmonary disease,pulmonary disease,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Hemorrhagic shock,shock,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
cerebral palsy,cerebral palsy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
telomerase-deficient,telomerase-deficient,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
hydrocephalus,hydrocephalus,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Myocardial Injury in sepsis,myocardial,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
neuralgia,neuralgia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
pulmonary dysplasia,pulmonary dysplasia,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Chronic kidney disease,kidney,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
Inflammatory and Neuropathic Pain,,Other,Other,Other,Other,Other,Other,Other
Chronic Overlapping Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Diabetic neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic Cerebral Hypoperfusion,cerebral hypoperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Epilepsy,epilepsy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic atrophic gastritis,gastritis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Cognitive impairments,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Stress-induced gastric hypersensitivity,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Random pattern flap survival,flap survival,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
type 2 diabetic neuropathic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
nociceptive pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Allergic and inflammatory disease,allerg,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
